
Country,League,Club,Player_Names,Matches_Played,Substitution,Mins,Goals,xG,xG_Per_Avg_Match,Shots,OnTarget,Shots_Per_Avg_Match,On_Target_Per_Avg_Match,Year
Germany,Bundesliga,(DOR),Julian Brandt,26,8,2419,9,6.3700000000000001,0.25,43,22,1.6899999999999999,0.86,2017
Germany,Bundesliga,(MON),Kevin Volland,30,1,2693,14,8.7899999999999991,0.31,55,28,1.9399999999999999,0.99,2017
Germany,Bundesliga,(DOR),Pierre-Emerick Aubameyang,16,0,1480,13,16.359999999999999,1.05,58,27,3.7200000000000002,1.73,2017
Brazil,Campeonato Brasileiro,(OPE),Roger,19,1,1465,11,8.6400000000000006,0.56000000000000005,47,20,3.0499999999999998,1.3,2017
Brazil,Campeonato Brasileiro,(CRU),Arthur Caike,34,0,2824,8,7.7300000000000004,0.26000000000000001,85,25,2.8599999999999999,0.84,2017
Brazil,Campeonato Brasileiro,(BEN),Everton,14,18,1224,8,9.5299999999999994,0.73999999999999999,54,30,4.1900000000000004,2.33,2017
Brazil,Campeonato Brasileiro,(SAP),Hernanes,19,0,1222,9,5.2699999999999996,0.40999999999999998,52,23,4.04,1.79,2017
Brazil,Campeonato Brasileiro,(TOM),Luiz Fernando,21,7,1792,9,6.04,0.32000000000000001,54,22,2.8599999999999999,1.17,2017
Brazil,Campeonato Brasileiro,(FOR),Wellington Paulista,30,3,2278,9,9.3499999999999996,0.39000000000000001,63,30,2.6299999999999999,1.25,2017
Brazil,Campeonato Brasileiro,(FLU),Fred,27,2,1865,12,12.56,0.64000000000000001,57,24,2.8999999999999999,1.22,2017
Brazil,Campeonato Brasileiro,(SAP),Santiago Trellez,23,0,1694,10,7.6699999999999999,0.42999999999999999,53,20,2.9700000000000002,1.12,2017
Brazil,Campeonato Brasileiro,(COR),Jo,34,0,2847,18,16.780000000000001,0.56000000000000005,80,39,2.6699999999999999,1.3,2017
Brazil,Campeonato Brasileiro,(SCR),Thiago Neves,30,3,2383,9,10.539999999999999,0.41999999999999998,102,51,4.0700000000000003,2.03,2017
Brazil,Campeonato Brasileiro,(FLA),Bruno Henrique,28,0,2136,8,10.57,0.46999999999999997,52,24,2.3100000000000001,1.07,2017
Brazil,Campeonato Brasileiro,(PAL),Dudu,23,3,1751,10,6.8200000000000003,0.37,45,23,2.4399999999999999,1.25,2017
Brazil,Campeonato Brasileiro,(FLA),Diego,24,3,2089,10,7.9199999999999999,0.35999999999999999,56,22,2.5499999999999998,1,2017
Brazil,Campeonato Brasileiro,(GRE),Diego Souza,26,1,1953,11,11.720000000000001,0.56999999999999995,74,30,3.6000000000000001,1.46,2017
Brazil,Campeonato Brasileiro,(FLU),Lucca,37,0,2933,13,11.109999999999999,0.35999999999999999,96,40,3.1099999999999999,1.3,2017
